Torch version: 1.5, 1.5.0
dataset = cityscapes
ignore_label = 255
num_classes = 19
cv split val 2 ['train/monchengladbach', 'train/strasbourg', 'train/stuttgart']
mode val found 655 images
cn num_classes 19
cv split train 2 ['val/munster', 'val/lindau', 'val/frankfurt', 'train/aachen', 'train/bochum', 'train/bremen', 'train/cologne', 'train/darmstadt', 'train/dusseldorf', 'train/erfurt', 'train/hamburg', 'train/hanover', 'train/jena', 'train/krefeld', 'train/tubingen', 'train/ulm', 'train/weimar', 'train/zurich']
mode train found 2820 images
cn num_classes 19
Loading centroid file /var/tmp/fastseg-training/assets/uniform_centroids/cityscapes_cv2_tile1024.json
Found 19 centroids
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
Using Cross Entropy Loss
Trunk: mobilenetv3_small
Model params = 1.1M
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
[epoch 0], [iter 1 / 176], [train main loss 6.299214], [lr 0.010000] [batchtime 0]
[epoch 42], [iter 87 / 176], [train main loss -1.858315], [lr 0.007600] [batchtime 0.419]
[epoch 42], [iter 88 / 176], [train main loss -1.847819], [lr 0.007600] [batchtime 0.437]
[epoch 42], [iter 89 / 176], [train main loss -1.851539], [lr 0.007600] [batchtime 0.436]
[epoch 42], [iter 90 / 176], [train main loss -1.826392], [lr 0.007600] [batchtime 0.436]
[epoch 42], [iter 91 / 176], [train main loss -1.854432], [lr 0.007600] [batchtime 0.435]
[epoch 42], [iter 92 / 176], [train main loss -1.851870], [lr 0.007600] [batchtime 0.435]
[epoch 42], [iter 93 / 176], [train main loss -1.880124], [lr 0.007600] [batchtime 0.434]
[epoch 42], [iter 94 / 176], [train main loss -1.859232], [lr 0.007600] [batchtime 0.434]
[epoch 42], [iter 95 / 176], [train main loss -1.860036], [lr 0.007600] [batchtime 0.433]
[epoch 42], [iter 96 / 176], [train main loss -1.862638], [lr 0.007600] [batchtime 0.433]
[epoch 42], [iter 97 / 176], [train main loss -1.860172], [lr 0.007600] [batchtime 0.432]
[epoch 42], [iter 98 / 176], [train main loss -1.870360], [lr 0.007600] [batchtime 0.432]
[epoch 42], [iter 99 / 176], [train main loss -1.851463], [lr 0.007600] [batchtime 0.432]
[epoch 42], [iter 100 / 176], [train main loss -1.841300], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 101 / 176], [train main loss -1.824176], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 102 / 176], [train main loss -1.832150], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 103 / 176], [train main loss -1.827297], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 104 / 176], [train main loss -1.833794], [lr 0.007600] [batchtime 0.43]
[epoch 42], [iter 105 / 176], [train main loss -1.819082], [lr 0.007600] [batchtime 0.43]
[epoch 42], [iter 106 / 176], [train main loss -1.837364], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 107 / 176], [train main loss -1.827018], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 108 / 176], [train main loss -1.856884], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 109 / 176], [train main loss -1.863545], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 110 / 176], [train main loss -1.847947], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 111 / 176], [train main loss -1.819535], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 112 / 176], [train main loss -1.799146], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 113 / 176], [train main loss -1.819325], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 114 / 176], [train main loss -1.816562], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 115 / 176], [train main loss -1.809390], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 116 / 176], [train main loss -1.780517], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 117 / 176], [train main loss -1.784363], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 118 / 176], [train main loss -1.796981], [lr 0.007600] [batchtime 0.426]
[epoch 42], [iter 119 / 176], [train main loss -1.783298], [lr 0.007600] [batchtime 0.426]
[epoch 42], [iter 120 / 176], [train main loss -1.789011], [lr 0.007600] [batchtime 0.426]
[epoch 42], [iter 121 / 176], [train main loss -1.777056], [lr 0.007600] [batchtime 0.425]
[epoch 42], [iter 122 / 176], [train main loss -1.786798], [lr 0.007600] [batchtime 0.425]
[epoch 42], [iter 123 / 176], [train main loss -1.767077], [lr 0.007600] [batchtime 0.425]
[epoch 42], [iter 124 / 176], [train main loss -1.801567], [lr 0.007600] [batchtime 0.425]
[epoch 42], [iter 125 / 176], [train main loss -1.818153], [lr 0.007600] [batchtime 0.424]
[epoch 42], [iter 126 / 176], [train main loss -1.798353], [lr 0.007600] [batchtime 0.424]
[epoch 42], [iter 127 / 176], [train main loss -1.781214], [lr 0.007600] [batchtime 0.424]
[epoch 42], [iter 128 / 176], [train main loss -1.787003], [lr 0.007600] [batchtime 0.424]
[epoch 42], [iter 129 / 176], [train main loss -1.769733], [lr 0.007600] [batchtime 0.423]
[epoch 42], [iter 130 / 176], [train main loss -1.762279], [lr 0.007600] [batchtime 0.423]
[epoch 42], [iter 131 / 176], [train main loss -1.764347], [lr 0.007600] [batchtime 0.423]
[epoch 42], [iter 132 / 176], [train main loss -1.758738], [lr 0.007600] [batchtime 0.423]
[epoch 42], [iter 133 / 176], [train main loss -1.734883], [lr 0.007600] [batchtime 0.423]
[epoch 42], [iter 134 / 176], [train main loss -1.730160], [lr 0.007600] [batchtime 0.434]
[epoch 42], [iter 135 / 176], [train main loss -1.711934], [lr 0.007600] [batchtime 0.434]
[epoch 42], [iter 136 / 176], [train main loss -1.691374], [lr 0.007600] [batchtime 0.434]
[epoch 42], [iter 137 / 176], [train main loss -1.682883], [lr 0.007600] [batchtime 0.434]
[epoch 42], [iter 138 / 176], [train main loss -1.682433], [lr 0.007600] [batchtime 0.433]
[epoch 42], [iter 139 / 176], [train main loss -1.687823], [lr 0.007600] [batchtime 0.433]
[epoch 42], [iter 140 / 176], [train main loss -1.677948], [lr 0.007600] [batchtime 0.433]
[epoch 42], [iter 141 / 176], [train main loss -1.674341], [lr 0.007600] [batchtime 0.432]
[epoch 42], [iter 142 / 176], [train main loss -1.686138], [lr 0.007600] [batchtime 0.432]
[epoch 42], [iter 143 / 176], [train main loss -1.692465], [lr 0.007600] [batchtime 0.432]
[epoch 42], [iter 144 / 176], [train main loss -1.689451], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 145 / 176], [train main loss -1.693951], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 146 / 176], [train main loss -1.687884], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 147 / 176], [train main loss -1.685315], [lr 0.007600] [batchtime 0.431]
[epoch 42], [iter 148 / 176], [train main loss -1.681534], [lr 0.007600] [batchtime 0.43]
[epoch 42], [iter 149 / 176], [train main loss -1.687256], [lr 0.007600] [batchtime 0.43]
[epoch 42], [iter 150 / 176], [train main loss -1.671156], [lr 0.007600] [batchtime 0.43]
[epoch 42], [iter 151 / 176], [train main loss -1.669376], [lr 0.007600] [batchtime 0.43]
[epoch 42], [iter 152 / 176], [train main loss -1.679119], [lr 0.007600] [batchtime 0.43]
[epoch 42], [iter 153 / 176], [train main loss -1.678156], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 154 / 176], [train main loss -1.684654], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 155 / 176], [train main loss -1.677984], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 156 / 176], [train main loss -1.669675], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 157 / 176], [train main loss -1.658913], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 158 / 176], [train main loss -1.641274], [lr 0.007600] [batchtime 0.429]
[epoch 42], [iter 159 / 176], [train main loss -1.642608], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 160 / 176], [train main loss -1.629911], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 161 / 176], [train main loss -1.631510], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 162 / 176], [train main loss -1.618361], [lr 0.007600] [batchtime 0.428]
[epoch 42], [iter 163 / 176], [train main loss -1.607858], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 164 / 176], [train main loss -1.621427], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 165 / 176], [train main loss -1.625782], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 166 / 176], [train main loss -1.626313], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 167 / 176], [train main loss -1.641280], [lr 0.007600] [batchtime 0.427]
[epoch 42], [iter 168 / 176], [train main loss -1.636657], [lr 0.007600] [batchtime 0.426]
[epoch 42], [iter 169 / 176], [train main loss -1.640612], [lr 0.007600] [batchtime 0.426]
[epoch 42], [iter 170 / 176], [train main loss -1.639344], [lr 0.007600] [batchtime 0.426]
[epoch 42], [iter 171 / 176], [train main loss -1.626049], [lr 0.007600] [batchtime 0.426]
[epoch 42], [iter 172 / 176], [train main loss -1.622043], [lr 0.007600] [batchtime 0.425]
[epoch 42], [iter 173 / 176], [train main loss -1.629996], [lr 0.007600] [batchtime 0.425]
[epoch 42], [iter 174 / 176], [train main loss -1.641913], [lr 0.007600] [batchtime 0.425]
[epoch 42], [iter 175 / 176], [train main loss -1.650236], [lr 0.007600] [batchtime 0.424]
[epoch 42], [iter 176 / 176], [train main loss -1.653250], [lr 0.007600] [batchtime 0.424]
validating[Iter: 1 / 81]
validating[Iter: 21 / 81]
validating[Iter: 41 / 81]
validating[Iter: 61 / 81]
validating[Iter: 81 / 81]
IoU:
  Id  label            iU_1.0     TP        FP    FN    Precision    Recall
----  -------------  --------  -----  --------  ----  -----------  --------
   0  road              92.07  35.15      0.03  0.05         0.97      0.95
   1  sidewalk          57.37   4.57      0.44  0.30         0.69      0.77
   2  building          81.15  24.69      0.08  0.16         0.93      0.87
   3  wall               9.70   0.08      6.70  2.60         0.13      0.28
   4  fence              1.93   0.02     50.26  0.68         0.02      0.59
   5  pole              26.82   0.36      2.13  0.60         0.32      0.62
   6  traffic light      2.15   0.00     44.76  0.72         0.02      0.58
   7  traffic sign       6.41   0.04     14.12  0.47         0.07      0.68
   8  vegetation        78.26  11.20      0.10  0.17         0.91      0.85
   9  terrain           33.11   0.35      1.10  0.92         0.48      0.52
  10  sky               91.93   3.73      0.04  0.05         0.96      0.95
  11  person            36.66   0.74      1.06  0.66         0.48      0.60
  12  rider              0.37   0.00    261.33  4.40         0.00      0.19
  13  car               76.39   6.65      0.06  0.24         0.94      0.80
  14  truck              0.00   0.00  49168.50  0.42         0.00      0.70
  15  bus                1.33   0.00     68.96  5.34         0.01      0.16
  16  train              0.93   0.00    106.86  0.07         0.01      0.93
  17  motorcycle         0.01   0.00   8709.15  1.42         0.00      0.41
  18  bicycle           24.43   0.14      1.83  1.26         0.35      0.44
Mean: 32.69
-----------------------------------------------------------------------------------------------------------
this : [epoch 42], [val loss 0.42927], [acc 0.87737], [acc_cls 0.38400], [mean_iu 0.32686], [fwavacc 0.78797]
best : [epoch 42], [val loss 0.42927], [acc 0.87737], [acc_cls 0.38400], [mean_iu 0.32686], [fwavacc 0.78797]
-----------------------------------------------------------------------------------------------------------
Class Uniform Percentage: 0.5
Class Uniform items per Epoch: 2820
cls 0 len 5541
cls 1 len 4897
cls 2 len 5357
cls 3 len 1268
cls 4 len 1537
cls 5 len 5398
cls 6 len 2703
cls 7 len 4610
cls 8 len 5185
cls 9 len 2407
cls 10 len 4436
cls 11 len 3530
cls 12 len 1329
cls 13 len 4864
cls 14 len 415
cls 15 len 398
cls 16 len 183
cls 17 len 551
cls 18 len 2272
[epoch 43], [iter 1 / 176], [train main loss -1.141699], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 2 / 176], [train main loss -3.388176], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 3 / 176], [train main loss -3.038073], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 4 / 176], [train main loss -2.698155], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 5 / 176], [train main loss -2.621412], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 6 / 176], [train main loss -2.459278], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 7 / 176], [train main loss -2.384087], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 8 / 176], [train main loss -2.268417], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 9 / 176], [train main loss -1.981234], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 10 / 176], [train main loss -1.952811], [lr 0.007543] [batchtime 0]
[epoch 43], [iter 11 / 176], [train main loss -2.130377], [lr 0.007543] [batchtime 0.376]
[epoch 43], [iter 12 / 176], [train main loss -1.997656], [lr 0.007543] [batchtime 0.391]
[epoch 43], [iter 13 / 176], [train main loss -1.833537], [lr 0.007543] [batchtime 0.4]
[epoch 43], [iter 14 / 176], [train main loss -1.844857], [lr 0.007543] [batchtime 0.402]
[epoch 43], [iter 15 / 176], [train main loss -1.823074], [lr 0.007543] [batchtime 0.401]
[epoch 43], [iter 16 / 176], [train main loss -1.851355], [lr 0.007543] [batchtime 0.558]
[epoch 43], [iter 17 / 176], [train main loss -1.890513], [lr 0.007543] [batchtime 0.532]
[epoch 43], [iter 18 / 176], [train main loss -1.823165], [lr 0.007543] [batchtime 0.515]
[epoch 43], [iter 19 / 176], [train main loss -1.949858], [lr 0.007543] [batchtime 0.502]
[epoch 43], [iter 20 / 176], [train main loss -2.046526], [lr 0.007543] [batchtime 0.491]
[epoch 43], [iter 21 / 176], [train main loss -2.106154], [lr 0.007543] [batchtime 0.484]
[epoch 43], [iter 22 / 176], [train main loss -2.068884], [lr 0.007543] [batchtime 0.477]
[epoch 43], [iter 23 / 176], [train main loss -2.009911], [lr 0.007543] [batchtime 0.47]
[epoch 43], [iter 24 / 176], [train main loss -2.028825], [lr 0.007543] [batchtime 0.465]
[epoch 43], [iter 25 / 176], [train main loss -2.076681], [lr 0.007543] [batchtime 0.461]
[epoch 43], [iter 26 / 176], [train main loss -2.090059], [lr 0.007543] [batchtime 0.458]
[epoch 43], [iter 27 / 176], [train main loss -2.096496], [lr 0.007543] [batchtime 0.455]
[epoch 43], [iter 28 / 176], [train main loss -1.964039], [lr 0.007543] [batchtime 0.452]
[epoch 43], [iter 29 / 176], [train main loss -1.945291], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 30 / 176], [train main loss -1.867521], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 31 / 176], [train main loss -1.839792], [lr 0.007543] [batchtime 0.454]
[epoch 43], [iter 32 / 176], [train main loss -1.853269], [lr 0.007543] [batchtime 0.511]
[epoch 43], [iter 33 / 176], [train main loss -1.846016], [lr 0.007543] [batchtime 0.506]
[epoch 43], [iter 34 / 176], [train main loss -1.828323], [lr 0.007543] [batchtime 0.502]
[epoch 43], [iter 35 / 176], [train main loss -1.867230], [lr 0.007543] [batchtime 0.498]
[epoch 43], [iter 36 / 176], [train main loss -1.861409], [lr 0.007543] [batchtime 0.494]
[epoch 43], [iter 37 / 176], [train main loss -1.914240], [lr 0.007543] [batchtime 0.49]
[epoch 43], [iter 38 / 176], [train main loss -1.885839], [lr 0.007543] [batchtime 0.487]
[epoch 43], [iter 39 / 176], [train main loss -1.807379], [lr 0.007543] [batchtime 0.484]
[epoch 43], [iter 40 / 176], [train main loss -1.890905], [lr 0.007543] [batchtime 0.481]
[epoch 43], [iter 41 / 176], [train main loss -1.845354], [lr 0.007543] [batchtime 0.479]
[epoch 43], [iter 42 / 176], [train main loss -1.863764], [lr 0.007543] [batchtime 0.477]
[epoch 43], [iter 43 / 176], [train main loss -1.913988], [lr 0.007543] [batchtime 0.474]
[epoch 43], [iter 44 / 176], [train main loss -1.913214], [lr 0.007543] [batchtime 0.472]
[epoch 43], [iter 45 / 176], [train main loss -1.934049], [lr 0.007543] [batchtime 0.47]
[epoch 43], [iter 46 / 176], [train main loss -1.898929], [lr 0.007543] [batchtime 0.469]
[epoch 43], [iter 47 / 176], [train main loss -1.860956], [lr 0.007543] [batchtime 0.467]
[epoch 43], [iter 48 / 176], [train main loss -1.808218], [lr 0.007543] [batchtime 0.465]
[epoch 43], [iter 49 / 176], [train main loss -1.857115], [lr 0.007543] [batchtime 0.463]
[epoch 43], [iter 50 / 176], [train main loss -1.899976], [lr 0.007543] [batchtime 0.462]
[epoch 43], [iter 51 / 176], [train main loss -1.872312], [lr 0.007543] [batchtime 0.46]
[epoch 43], [iter 52 / 176], [train main loss -1.824328], [lr 0.007543] [batchtime 0.459]
[epoch 43], [iter 53 / 176], [train main loss -1.851081], [lr 0.007543] [batchtime 0.457]
[epoch 43], [iter 54 / 176], [train main loss -1.817790], [lr 0.007543] [batchtime 0.46]
[epoch 43], [iter 55 / 176], [train main loss -1.779588], [lr 0.007543] [batchtime 0.458]
[epoch 43], [iter 56 / 176], [train main loss -1.790743], [lr 0.007543] [batchtime 0.457]
[epoch 43], [iter 57 / 176], [train main loss -1.761927], [lr 0.007543] [batchtime 0.456]
[epoch 43], [iter 58 / 176], [train main loss -1.771489], [lr 0.007543] [batchtime 0.454]
[epoch 43], [iter 59 / 176], [train main loss -1.755167], [lr 0.007543] [batchtime 0.454]
[epoch 43], [iter 60 / 176], [train main loss -1.734288], [lr 0.007543] [batchtime 0.452]
[epoch 43], [iter 61 / 176], [train main loss -1.718782], [lr 0.007543] [batchtime 0.451]
[epoch 43], [iter 62 / 176], [train main loss -1.691401], [lr 0.007543] [batchtime 0.45]
[epoch 43], [iter 63 / 176], [train main loss -1.721128], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 64 / 176], [train main loss -1.713498], [lr 0.007543] [batchtime 0.448]
[epoch 43], [iter 65 / 176], [train main loss -1.677664], [lr 0.007543] [batchtime 0.448]
[epoch 43], [iter 66 / 176], [train main loss -1.644075], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 67 / 176], [train main loss -1.657482], [lr 0.007543] [batchtime 0.446]
[epoch 43], [iter 68 / 176], [train main loss -1.639836], [lr 0.007543] [batchtime 0.445]
[epoch 43], [iter 69 / 176], [train main loss -1.606966], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 70 / 176], [train main loss -1.595072], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 71 / 176], [train main loss -1.578115], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 72 / 176], [train main loss -1.572958], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 73 / 176], [train main loss -1.553966], [lr 0.007543] [batchtime 0.441]
[epoch 43], [iter 74 / 176], [train main loss -1.568156], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 75 / 176], [train main loss -1.603575], [lr 0.007543] [batchtime 0.462]
[epoch 43], [iter 76 / 176], [train main loss -1.617350], [lr 0.007543] [batchtime 0.463]
[epoch 43], [iter 77 / 176], [train main loss -1.647433], [lr 0.007543] [batchtime 0.461]
[epoch 43], [iter 78 / 176], [train main loss -1.670529], [lr 0.007543] [batchtime 0.461]
[epoch 43], [iter 79 / 176], [train main loss -1.668523], [lr 0.007543] [batchtime 0.459]
[epoch 43], [iter 80 / 176], [train main loss -1.690337], [lr 0.007543] [batchtime 0.458]
[epoch 43], [iter 81 / 176], [train main loss -1.682876], [lr 0.007543] [batchtime 0.458]
[epoch 43], [iter 82 / 176], [train main loss -1.671951], [lr 0.007543] [batchtime 0.457]
[epoch 43], [iter 83 / 176], [train main loss -1.676485], [lr 0.007543] [batchtime 0.456]
[epoch 43], [iter 84 / 176], [train main loss -1.624941], [lr 0.007543] [batchtime 0.455]
[epoch 43], [iter 85 / 176], [train main loss -1.627664], [lr 0.007543] [batchtime 0.455]
[epoch 43], [iter 86 / 176], [train main loss -1.623262], [lr 0.007543] [batchtime 0.454]
[epoch 43], [iter 87 / 176], [train main loss -1.588451], [lr 0.007543] [batchtime 0.453]
[epoch 43], [iter 88 / 176], [train main loss -1.605222], [lr 0.007543] [batchtime 0.452]
[epoch 43], [iter 89 / 176], [train main loss -1.606307], [lr 0.007543] [batchtime 0.452]
[epoch 43], [iter 90 / 176], [train main loss -1.641809], [lr 0.007543] [batchtime 0.451]
[epoch 43], [iter 91 / 176], [train main loss -1.638920], [lr 0.007543] [batchtime 0.45]
[epoch 43], [iter 92 / 176], [train main loss -1.635717], [lr 0.007543] [batchtime 0.45]
[epoch 43], [iter 93 / 176], [train main loss -1.658940], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 94 / 176], [train main loss -1.652860], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 95 / 176], [train main loss -1.640601], [lr 0.007543] [batchtime 0.448]
[epoch 43], [iter 96 / 176], [train main loss -1.647635], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 97 / 176], [train main loss -1.638172], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 98 / 176], [train main loss -1.660495], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 99 / 176], [train main loss -1.644361], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 100 / 176], [train main loss -1.647925], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 101 / 176], [train main loss -1.641449], [lr 0.007543] [batchtime 0.448]
[epoch 43], [iter 102 / 176], [train main loss -1.656335], [lr 0.007543] [batchtime 0.448]
[epoch 43], [iter 103 / 176], [train main loss -1.631331], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 104 / 176], [train main loss -1.646679], [lr 0.007543] [batchtime 0.446]
[epoch 43], [iter 105 / 176], [train main loss -1.646703], [lr 0.007543] [batchtime 0.446]
[epoch 43], [iter 106 / 176], [train main loss -1.616863], [lr 0.007543] [batchtime 0.445]
[epoch 43], [iter 107 / 176], [train main loss -1.599415], [lr 0.007543] [batchtime 0.445]
[epoch 43], [iter 108 / 176], [train main loss -1.614934], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 109 / 176], [train main loss -1.611181], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 110 / 176], [train main loss -1.606601], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 111 / 176], [train main loss -1.607943], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 112 / 176], [train main loss -1.636801], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 113 / 176], [train main loss -1.647483], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 114 / 176], [train main loss -1.644245], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 115 / 176], [train main loss -1.646934], [lr 0.007543] [batchtime 0.441]
[epoch 43], [iter 116 / 176], [train main loss -1.652377], [lr 0.007543] [batchtime 0.441]
[epoch 43], [iter 117 / 176], [train main loss -1.652349], [lr 0.007543] [batchtime 0.44]
[epoch 43], [iter 118 / 176], [train main loss -1.647107], [lr 0.007543] [batchtime 0.44]
[epoch 43], [iter 119 / 176], [train main loss -1.637339], [lr 0.007543] [batchtime 0.44]
[epoch 43], [iter 120 / 176], [train main loss -1.624873], [lr 0.007543] [batchtime 0.439]
[epoch 43], [iter 121 / 176], [train main loss -1.633032], [lr 0.007543] [batchtime 0.439]
[epoch 43], [iter 122 / 176], [train main loss -1.625644], [lr 0.007543] [batchtime 0.438]
[epoch 43], [iter 123 / 176], [train main loss -1.641516], [lr 0.007543] [batchtime 0.439]
[epoch 43], [iter 124 / 176], [train main loss -1.629613], [lr 0.007543] [batchtime 0.45]
[epoch 43], [iter 125 / 176], [train main loss -1.637587], [lr 0.007543] [batchtime 0.45]
[epoch 43], [iter 126 / 176], [train main loss -1.626339], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 127 / 176], [train main loss -1.620502], [lr 0.007543] [batchtime 0.449]
[epoch 43], [iter 128 / 176], [train main loss -1.608178], [lr 0.007543] [batchtime 0.448]
[epoch 43], [iter 129 / 176], [train main loss -1.604910], [lr 0.007543] [batchtime 0.448]
[epoch 43], [iter 130 / 176], [train main loss -1.616509], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 131 / 176], [train main loss -1.622073], [lr 0.007543] [batchtime 0.447]
[epoch 43], [iter 132 / 176], [train main loss -1.611716], [lr 0.007543] [batchtime 0.446]
[epoch 43], [iter 133 / 176], [train main loss -1.619906], [lr 0.007543] [batchtime 0.446]
[epoch 43], [iter 134 / 176], [train main loss -1.618254], [lr 0.007543] [batchtime 0.446]
[epoch 43], [iter 135 / 176], [train main loss -1.622512], [lr 0.007543] [batchtime 0.445]
[epoch 43], [iter 136 / 176], [train main loss -1.639447], [lr 0.007543] [batchtime 0.445]
[epoch 43], [iter 137 / 176], [train main loss -1.635435], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 138 / 176], [train main loss -1.612526], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 139 / 176], [train main loss -1.621846], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 140 / 176], [train main loss -1.631034], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 141 / 176], [train main loss -1.639968], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 142 / 176], [train main loss -1.639050], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 143 / 176], [train main loss -1.637277], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 144 / 176], [train main loss -1.616798], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 145 / 176], [train main loss -1.645925], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 146 / 176], [train main loss -1.670329], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 147 / 176], [train main loss -1.663251], [lr 0.007543] [batchtime 0.444]
[epoch 43], [iter 148 / 176], [train main loss -1.675277], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 149 / 176], [train main loss -1.658724], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 150 / 176], [train main loss -1.650203], [lr 0.007543] [batchtime 0.443]
[epoch 43], [iter 151 / 176], [train main loss -1.649742], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 152 / 176], [train main loss -1.641825], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 153 / 176], [train main loss -1.636919], [lr 0.007543] [batchtime 0.442]
[epoch 43], [iter 154 / 176], [train main loss -1.639375], [lr 0.007543] [batchtime 0.441]
[epoch 43], [iter 155 / 176], [train main loss -1.657004], [lr 0.007543] [batchtime 0.441]
[epoch 43], [iter 156 / 176], [train main loss -1.659962], [lr 0.007543] [batchtime 0.441]
[epoch 43], [iter 157 / 176], [train main loss -1.660523], [lr 0.007543] [batchtime 0.441]
[epoch 43], [iter 158 / 176], [train main loss -1.672657], [lr 0.007543] [batchtime 0.44]
[epoch 43], [iter 159 / 176], [train main loss -1.698786], [lr 0.007543] [batchtime 0.44]
[epoch 43], [iter 160 / 176], [train main loss -1.716679], [lr 0.007543] [batchtime 0.44]
